17,04,11,23,06,23,02,24,00,16,04,04,26
00,08,00,26,00,26,00,04,00,18,00,01,00
22,12,02,12,02,11,00,19,24,04,19,02,14
00,14,00,24,00,02,25,02,00,02,00,16,00
07,23,01,02,00,03,00,16,15,01,24,02,16
00,16,00,00,00,02,00,00,00,04,00,00,00
16,05,24,02,16,16,00,16,02,03,23,02,24
00,00,00,21,00,00,00,18,00,00,00,08,00
02,08,18,04,23,08,00,15,00,01,14,04,13
00,24,00,23,00,04,14,11,00,04,00,26,00
10,15,16,16,15,14,00,23,26,11,04,04,24
00,20,00,05,00,23,00,02,00,02,00,17,00
21,09,17,16,00,08,12,24,05,16,02,09,16
3=x,11=d,12=u
