12,09,22,24,21,24,24,25,00,09,11,06,24
01,00,05,00,13,00,23,00,14,00,05,00,17
09,08,23,02,20,00,22,05,21,16,20,13,07
22,00,11,00,20,00,05,00,13,00,12,00,08
07,08,26,26,00,20,02,08,18,18,13,25,23
00,00,08,00,12,00,03,00,08,00,00,00,14
14,09,21,21,13,07,00,26,21,24,24,12,24
25,00,00,00,25,00,26,00,24,00,23,00,00
13,07,07,13,20,24,25,20,00,09,11,11,20
04,00,05,00,09,00,24,00,07,00,24,00,21
21,05,10,08,05,11,20,00,13,15,09,25,03
24,00,08,00,25,00,12,00,14,00,25,00,21
11,25,24,04,00,19,13,03,13,08,20,21,03
12=c,20=s
