00,20,00,01,00,17,00,24,00,24,00,11,00
20,18,17,09,17,06,25,20,00,20,08,03,20
00,16,00,03,00,15,00,17,00,13,00,04,00
21,09,13,06,00,03,10,20,26,08,16,13,23
00,19,00,00,00,08,00,01,00,06,00,07,00
07,16,01,13,07,16,00,25,16,13,19,16,15
00,00,00,05,00,00,00,00,00,12,00,00,00
10,15,02,10,24,20,00,03,19,16,08,07,03
00,13,00,13,00,08,00,22,00,00,00,08,00
16,20,16,08,15,17,20,14,00,24,03,13,23
00,17,00,17,00,19,00,06,00,15,00,06,00
20,03,21,10,00,16,09,16,19,13,20,03,08
00,15,00,24,00,20,00,15,00,11,00,15,00
7=d,8=r
