12,14,23,11,15,20,24,05,00,13,21,23,11
23,00,25,00,20,00,23,00,14,00,08,00,22
11,10,18,18,21,00,06,11,22,08,10,22,09
05,00,10,00,21,00,23,00,23,00,20,00,23
04,25,09,21,00,05,09,04,19,22,16,04,01
00,00,09,00,09,00,15,00,20,00,00,00,22
09,23,02,04,10,13,00,14,22,15,15,22,03
04,00,00,00,15,00,15,00,11,00,20,00,00
12,14,23,15,16,11,23,02,00,10,21,22,11
26,00,10,00,22,00,24,00,17,00,26,00,10
07,04,05,13,11,04,13,00,22,01,20,13,21
23,00,10,00,21,00,11,00,11,00,12,00,26
25,04,11,26,00,16,23,17,04,04,26,23,21
