00,24,00,08,00,21,00,23,00,20,00,12,00
13,10,24,22,00,08,05,18,04,15,10,26,24
00,01,00,25,00,15,00,24,00,05,00,10,00
21,10,25,24,20,05,04,15,00,14,10,11,22
00,14,00,02,00,25,00,10,00,00,00,05,00
26,22,06,18,22,19,00,09,05,04,03,18,22
00,00,00,02,00,00,00,00,00,23,00,00,00
06,10,26,01,22,26,00,24,23,25,03,22,16
00,17,00,00,00,22,00,10,00,17,00,19,00
12,22,10,26,00,09,22,25,24,22,25,04,16
00,25,00,10,00,10,00,14,00,26,00,22,00
07,02,10,14,01,05,26,22,00,21,10,21,15
00,22,00,22,00,18,00,26,00,22,00,21,00
18=l,26=r
